sub_id,trial_type,alc_avg_nr_fixations,cig_avg_nr_fixations,neu_avg_nr_fixations,chose_alc_alc_avg_nr_fixations,chose_alc_cig_avg_nr_fixations,chose_alc_neu_avg_nr_fixations,chose_cig_alc_avg_nr_fixations,chose_cig_cig_avg_nr_fixations,chose_cig_neu_avg_nr_fixations,chose_neu_alc_avg_nr_fixations,chose_neu_cig_avg_nr_fixations,chose_neu_neu_avg_nr_fixations
cret03,high_pref,0.95,0.55,0.3,1.0,0.133333333333,0.4,0.777777777778,1.22222222222,0.333333333333,1.0,0.0,1.0
cret04,high_pref,1.02040816327,0.591836734694,0.285714285714,1.05,0.533333333333,0.35,0.9,0.9,0.3,1.0,0.0,0.0
cret05,high_pref,1.01492537313,0.850746268657,0.55223880597,1.04255319149,0.765957446809,0.404255319149,0.95652173913,1.04347826087,0.826086956522,,,
cret06,high_pref,0.961538461538,0.282051282051,0.0641025641026,0.973333333333,0.253333333333,0.0666666666667,0.666666666667,1.0,0.0,,,
cret07,high_pref,1.18181818182,0.954545454545,0.909090909091,1.42857142857,1.04761904762,0.809523809524,1.0,1.47368421053,1.10526315789,0.928571428571,0.857142857143,1.28571428571
cret08,high_pref,0.740740740741,1.25925925926,0.444444444444,,,,0.757575757576,1.30303030303,0.5,1.0,1.0,1.0
cret09,high_pref,0.235294117647,0.941176470588,0.205882352941,,,,0.352941176471,0.980392156863,0.333333333333,,,
cret10,high_pref,0.513513513514,0.702702702703,0.567567567568,1.05882352941,0.235294117647,0.176470588235,0.518518518519,1.18518518519,0.296296296296,0.333333333333,0.4,1.06666666667
cret11,high_pref,0.736842105263,0.649122807018,0.333333333333,0.931034482759,0.48275862069,0.206896551724,0.733333333333,1.0,0.333333333333,0.307692307692,0.615384615385,0.615384615385
cret14,high_pref,0.784615384615,1.01538461538,0.553846153846,1.25,1.0,1.0,0.770491803279,1.01639344262,0.540983606557,0.0,1.0,0.0
cret15,high_pref,1.08333333333,1.02777777778,0.680555555556,1.18461538462,1.03076923077,0.692307692308,0.4,1.0,0.6,,,
cret16,high_pref,1.17647058824,0.882352941176,0.647058823529,1.16666666667,0.777777777778,0.555555555556,2.0,3.0,1.0,,,
cret17,high_pref,0.632352941176,0.779411764706,1.05882352941,,,,0.892857142857,1.21428571429,1.07142857143,0.48,0.5,1.02
cret18,high_pref,1.14516129032,0.967741935484,0.451612903226,1.34285714286,0.857142857143,0.457142857143,0.9,1.1,0.425,,,
cret19,high_pref,0.125,0.6875,0.1875,1.0,0.0,0.0,0.333333333333,0.666666666667,0.393939393939,,,
cret21,high_pref,0.296296296296,0.777777777778,0.407407407407,1.0,0.75,0.75,0.142857142857,0.904761904762,0.190476190476,0.333333333333,0.5,0.666666666667
cret22,high_pref,0.615384615385,0.871794871795,0.307692307692,1.0,0.625,0.5,0.413793103448,0.965517241379,0.172413793103,1.66666666667,0.666666666667,1.0
cret24,high_pref,0.590909090909,0.863636363636,0.363636363636,2.0,1.5,1.5,0.735294117647,0.970588235294,0.470588235294,,,
cret25,high_pref,0.65625,0.578125,0.4375,1.05714285714,0.285714285714,0.285714285714,0.24,1.0,0.44,0.166666666667,0.5,1.16666666667
cret26,high_pref,0.903225806452,1.01612903226,0.596774193548,1.03125,0.875,0.5,0.769230769231,1.23076923077,0.576923076923,0.8,0.6,1.2
cret27,high_pref,0.375,0.6875,0.375,0.52380952381,0.142857142857,0.333333333333,0.25,0.714285714286,0.285714285714,0.0,0.0,1.0
cret28,high_pref,0.708333333333,0.708333333333,0.25,1.0,0.3125,0.1875,0.310344827586,1.03448275862,0.310344827586,1.0,0.0,0.0
cret29,high_pref,0.576271186441,0.474576271186,0.237288135593,0.793103448276,0.103448275862,0.310344827586,0.4,0.866666666667,0.133333333333,0.5,0.0,1.0
cret30,high_pref,0.538461538462,0.538461538462,0.307692307692,0.394736842105,0.394736842105,0.394736842105,0.555555555556,0.5,0.111111111111,0.5,0.25,0.75
cret33,high_pref,1.16666666667,0.986111111111,0.736111111111,1.32,0.8,0.7,0.789473684211,1.42105263158,0.736842105263,1.0,1.33333333333,1.33333333333
cret36,high_pref,0.565217391304,0.768115942029,1.11594202899,1.0,1.0,1.0,1.31578947368,2.15789473684,1.31578947368,0.265306122449,0.224489795918,1.04081632653
cret37,high_pref,1.08450704225,1.02816901408,1.01408450704,,,,1.29166666667,1.25,1.375,0.978723404255,0.914893617021,0.829787234043
cret38,high_pref,0.918032786885,1.09836065574,0.475409836066,1.26086956522,1.0,0.434782608696,0.789473684211,1.26315789474,0.473684210526,0.25,0.5,1.0
cret39,high_pref,2.48333333333,2.35,1.88333333333,3.04,2.28,2.16,2.22448979592,2.44897959184,1.65306122449,,,
cret03,highC_lowA,0.833333333333,0.666666666667,1.16666666667,1.0,0.0,0.5,1.0,0.714285714286,0.857142857143,1.0,1.0,2.0
cret04,highC_lowA,1.15789473684,1.26315789474,0.789473684211,1.0,1.0,0.0,1.125,1.41666666667,0.875,,,
cret05,highC_lowA,1.0,0.928571428571,0.714285714286,1.42857142857,0.428571428571,0.571428571429,0.857142857143,1.0,0.714285714286,1.0,2.0,1.0
cret06,highC_lowA,,,,,,,,,,,,
cret07,highC_lowA,1.07692307692,0.846153846154,0.538461538462,1.21428571429,1.0,1.0,1.33333333333,1.33333333333,1.0,1.0,1.0,0.666666666667
cret08,highC_lowA,0.909090909091,1.40909090909,0.454545454545,,,,0.923076923077,1.46153846154,0.423076923077,,,
cret09,highC_lowA,0.533333333333,0.933333333333,0.2,,,,0.636363636364,0.954545454545,0.318181818182,,,
cret10,highC_lowA,0.882352941176,0.294117647059,0.588235294118,1.25,0.166666666667,0.5,0.6,1.0,0.2,0.285714285714,0.428571428571,1.0
cret11,highC_lowA,0.766666666667,0.733333333333,0.8,1.5,0.25,0.5,0.6,1.13333333333,0.733333333333,0.727272727273,0.363636363636,1.0
cret14,highC_lowA,1.29166666667,1.08333333333,0.583333333333,,,,1.26923076923,1.07692307692,0.615384615385,,,
cret15,highC_lowA,1.22580645161,1.38709677419,1.12903225806,1.0,1.0,1.0,1.23333333333,1.4,1.13333333333,,,
cret16,highC_lowA,1.2,1.4,1.0,,,,1.25,1.5,0.75,1.0,1.0,2.0
cret17,highC_lowA,0.76,0.92,1.08,,,,1.0,1.22222222222,0.888888888889,0.625,0.75,1.1875
cret18,highC_lowA,1.20833333333,1.29166666667,0.75,1.77777777778,1.44444444444,1.0,0.863636363636,1.13636363636,0.636363636364,,,
cret19,highC_lowA,1.0,0.5,0.25,,,,0.571428571429,0.357142857143,0.428571428571,0.0,1.0,1.0
cret21,highC_lowA,0.666666666667,0.5,0.666666666667,1.0,0.5,0.0,0.625,0.875,0.625,0.0,0.5,1.5
cret22,highC_lowA,0.4375,1.0,0.4375,1.0,0.5,0.5,0.384615384615,1.15384615385,0.384615384615,0.0,0.0,1.0
cret24,highC_lowA,0.625,0.75,0.875,,,,0.857142857143,0.928571428571,0.857142857143,,,
cret25,highC_lowA,0.344827586207,1.03448275862,0.379310344828,,,,0.344827586207,1.03448275862,0.379310344828,,,
cret26,highC_lowA,1.05,1.25,0.75,1.25,1.0,0.5,1.0,1.26666666667,0.733333333333,1.0,2.0,2.0
cret27,highC_lowA,0.75,0.375,0.375,0.888888888889,0.222222222222,0.333333333333,0.0833333333333,0.583333333333,0.333333333333,,,
cret28,highC_lowA,0.6,0.933333333333,0.4,,,,0.565217391304,0.826086956522,0.391304347826,,,
cret29,highC_lowA,0.421052631579,0.684210526316,0.368421052632,0.5,0.5,0.333333333333,0.461538461538,0.769230769231,0.307692307692,0.0,0.0,1.0
cret30,highC_lowA,0.4,0.8,0.2,1.0,0.0,0.0,0.666666666667,0.533333333333,0.0666666666667,1.0,0.333333333333,0.666666666667
cret33,highC_lowA,1.03448275862,0.931034482759,0.620689655172,1.125,0.75,0.5,1.0,1.2,0.6,0.666666666667,1.0,1.33333333333
cret36,highC_lowA,0.541666666667,0.458333333333,1.25,,,,0.5,2.0,1.0,0.565217391304,0.347826086957,1.26086956522
cret37,highC_lowA,0.962962962963,1.07407407407,1.11111111111,,,,1.3,1.5,1.5,0.894736842105,0.894736842105,0.894736842105
cret38,highC_lowA,0.96,1.2,0.68,1.5,1.0,1.0,0.916666666667,1.25,0.666666666667,1.0,1.0,1.0
cret39,highC_lowA,2.69230769231,2.03846153846,1.80769230769,2.86666666667,1.86666666667,1.93333333333,2.35714285714,2.35714285714,1.64285714286,,,
cret03,lowC_highA,1.33333333333,0.333333333333,1.0,1.16666666667,0.333333333333,0.666666666667,,,,,,
cret04,lowC_highA,1.04545454545,0.363636363636,0.318181818182,1.03571428571,0.428571428571,0.392857142857,,,,,,
cret05,lowC_highA,1.0,0.838709677419,1.0,1.03225806452,0.838709677419,0.967741935484,,,,0.0,1.0,1.0
cret06,lowC_highA,,,,,,,,,,,,
cret07,lowC_highA,1.14285714286,1.0,1.14285714286,1.4,1.0,1.33333333333,0.8,1.4,0.6,1.5,1.0,1.25
cret08,lowC_highA,0.851851851852,1.40740740741,0.777777777778,,,,0.821428571429,1.39285714286,0.75,,,
cret09,lowC_highA,0.272727272727,1.0,0.0909090909091,,,,0.428571428571,1.04761904762,0.428571428571,,,
cret10,lowC_highA,0.692307692308,1.0,0.384615384615,1.0,0.857142857143,0.142857142857,0.416666666667,1.16666666667,0.333333333333,1.33333333333,1.0,1.33333333333
cret11,lowC_highA,0.95652173913,0.739130434783,0.695652173913,1.11764705882,0.647058823529,0.705882352941,1.0,2.0,0.0,0.25,0.5,1.0
cret14,lowC_highA,1.18181818182,0.909090909091,1.04545454545,1.27272727273,0.909090909091,1.09090909091,1.0,1.0,0.5,,,
cret15,lowC_highA,1.0,0.933333333333,0.633333333333,1.25,0.85,0.75,0.5,1.1,0.4,,,
cret16,lowC_highA,1.16666666667,0.333333333333,0.833333333333,1.14285714286,0.428571428571,0.857142857143,,,,,,
cret17,lowC_highA,0.862068965517,0.965517241379,1.20689655172,,,,,,,0.935483870968,0.967741935484,1.25806451613
cret18,lowC_highA,1.28571428571,0.642857142857,0.642857142857,1.33333333333,0.666666666667,0.7,,,,,,
cret19,lowC_highA,0.285714285714,0.285714285714,0.428571428571,0.0,0.0,1.0,0.416666666667,0.416666666667,0.416666666667,,,
cret21,lowC_highA,0.857142857143,1.0,0.571428571429,1.0,0.333333333333,0.333333333333,0.571428571429,1.28571428571,0.571428571429,0.5,1.0,1.0
cret22,lowC_highA,1.33333333333,0.722222222222,1.05555555556,1.22222222222,0.555555555556,0.777777777778,,,,1.44444444444,0.888888888889,1.33333333333
cret24,lowC_highA,1.2,0.65,0.7,1.25,0.75,0.958333333333,,,,1.0,0.0,0.0
cret25,lowC_highA,0.962962962963,0.37037037037,0.37037037037,1.08333333333,0.333333333333,0.25,,,,0.25,0.5,1.0
cret26,lowC_highA,0.84,0.8,1.0,1.0625,0.6875,0.8125,,,,0.444444444444,1.0,1.33333333333
cret27,lowC_highA,0.8,0.8,0.5,0.692307692308,0.461538461538,0.230769230769,0.444444444444,0.555555555556,0.444444444444,0.0,1.0,2.0
cret28,lowC_highA,0.888888888889,0.611111111111,0.5,1.05555555556,0.555555555556,0.555555555556,0.2,0.8,0.4,,,
cret29,lowC_highA,0.545454545455,0.545454545455,0.363636363636,0.444444444444,0.5,0.444444444444,1.0,0.666666666667,0.0,0.5,0.5,0.5
cret30,lowC_highA,0.25,0.5,0.5,0.384615384615,0.230769230769,0.384615384615,0.2,0.4,0.4,0.6,0.4,0.2
cret33,lowC_highA,1.37931034483,0.931034482759,0.724137931034,1.42857142857,0.892857142857,0.714285714286,1.0,1.0,1.0,1.0,2.0,1.0
cret36,lowC_highA,0.736842105263,1.05263157895,1.47368421053,0.0,0.0,1.0,1.25,2.5,1.75,0.642857142857,0.714285714286,1.42857142857
cret37,lowC_highA,0.740740740741,0.962962962963,0.888888888889,,,,0.777777777778,1.0,0.888888888889,0.666666666667,0.888888888889,0.888888888889
cret38,lowC_highA,1.17857142857,1.0,0.75,1.22222222222,1.03703703704,0.703703703704,0.0,1.0,1.0,1.0,0.0,1.0
cret39,lowC_highA,2.59259259259,2.07407407407,1.55555555556,2.57142857143,1.92857142857,1.67857142857,3.33333333333,3.66666666667,1.0,,,
cret03,lowC_lowA,1.33333333333,0.666666666667,1.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,0.666666666667,1.0
cret04,lowC_lowA,1.0,1.55555555556,1.22222222222,1.0,1.0,1.0,1.09090909091,1.54545454545,1.36363636364,1.33333333333,1.33333333333,1.33333333333
cret05,lowC_lowA,1.2,1.15,1.2,1.28571428571,0.714285714286,1.0,,,,1.15384615385,1.38461538462,1.30769230769
cret06,lowC_lowA,,,,,,,,,,,,
cret07,lowC_lowA,1.16666666667,1.16666666667,1.0,1.57142857143,1.28571428571,1.28571428571,0.6,1.0,0.8,1.0,2.0,2.0
cret08,lowC_lowA,0.714285714286,1.35714285714,0.285714285714,,,,0.733333333333,1.4,0.333333333333,,,
cret09,lowC_lowA,0.333333333333,1.0,0.0,,,,0.416666666667,1.0,0.0833333333333,,,
cret10,lowC_lowA,0.8,0.4,0.2,1.18181818182,0.727272727273,0.363636363636,1.0,1.5,0.5,0.5,0.5,1.0
cret11,lowC_lowA,0.928571428571,0.714285714286,0.857142857143,2.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,0.666666666667,0.916666666667
cret14,lowC_lowA,1.4,1.0,1.06666666667,1.46153846154,1.0,1.07692307692,1.0,1.0,1.0,,,
cret15,lowC_lowA,1.16666666667,1.44444444444,0.888888888889,1.0,1.0,1.0,1.17647058824,1.47058823529,0.882352941176,,,
cret16,lowC_lowA,1.33333333333,1.0,1.0,,,,1.0,0.0,1.0,1.4,1.2,1.0
cret17,lowC_lowA,0.875,0.8125,1.0625,,,,,,,0.833333333333,0.722222222222,1.0
cret18,lowC_lowA,2.0,1.26666666667,1.13333333333,1.84210526316,1.36842105263,1.21052631579,2.0,2.0,1.0,,,
cret19,lowC_lowA,0.0,0.75,0.25,1.0,0.0,0.0,0.3,0.8,0.3,0.0,0.0,1.0
cret21,lowC_lowA,0.75,0.75,0.0,1.0,0.0,0.0,0.333333333333,1.33333333333,0.0,,,
cret22,lowC_lowA,1.46666666667,0.933333333333,1.13333333333,1.66666666667,0.833333333333,1.0,,,,1.0,1.25,1.5
cret24,lowC_lowA,1.3125,1.0625,1.0625,1.2,1.0,0.8,3.0,3.0,1.0,1.42857142857,1.14285714286,1.28571428571
cret25,lowC_lowA,1.0,0.888888888889,0.722222222222,1.15384615385,0.923076923077,0.615384615385,,,,0.666666666667,0.833333333333,1.0
cret26,lowC_lowA,1.23076923077,1.23076923077,1.07692307692,1.16666666667,0.666666666667,1.0,1.16666666667,1.66666666667,1.0,2.0,2.0,2.0
cret27,lowC_lowA,0.666666666667,0.333333333333,0.0,0.666666666667,0.666666666667,0.111111111111,0.0,1.0,0.0,,,
cret28,lowC_lowA,0.846153846154,1.07692307692,0.307692307692,1.14285714286,1.14285714286,0.428571428571,0.571428571429,0.857142857143,0.428571428571,1.0,1.0,1.0
cret29,lowC_lowA,0.714285714286,0.571428571429,0.642857142857,0.909090909091,0.545454545455,0.545454545455,0.333333333333,1.0,0.666666666667,0.0,0.0,1.0
cret30,lowC_lowA,1.0,1.0,1.0,2.5,2.0,1.5,0.5,0.333333333333,0.166666666667,1.0,1.0,3.0
cret33,lowC_lowA,1.25,0.6875,0.8125,1.2,0.666666666667,0.733333333333,,,,2.0,1.0,2.0
cret36,lowC_lowA,0.7,0.5,1.2,,,,1.0,2.0,1.0,0.666666666667,0.333333333333,1.22222222222
cret37,lowC_lowA,1.22222222222,1.0,1.05555555556,,,,1.28571428571,1.0,1.0,1.0,1.0,1.25
cret38,lowC_lowA,1.82352941176,1.64705882353,1.41176470588,1.33333333333,1.16666666667,0.666666666667,2.6,2.4,1.8,1.71428571429,1.71428571429,1.85714285714
cret39,lowC_lowA,2.4,2.26666666667,2.26666666667,2.41666666667,1.66666666667,1.66666666667,2.33333333333,3.16666666667,2.83333333333,2.5,3.0,3.5
